"","program","percent_poc_concentration","poverty_rate_concentration","med_hh_income_concentration","pop_density_concentration","access_to_car_concentration","age_over_64_concentration","age_under_18_concentration","airports_primary_concentration","annual_vehicle_mi_per_hh_concentration","avg_hh_person_trips_concentration","bridges_concentration","bridges_poor_condition_concentration","broadband_speed_concentration","capacity_environment_concentration","capacity_housing_concentration","capacity_transport_concentration","cnw_500_concentration","commute_time_concentration","contaminated_sites_concentration","diesel_pm_concentration","docks_concentration","employment_access_index_concentration","energy_cost_hh_concentration","freq_fatal_accidents_concentration","ghg_per_acre_concentration","green_commute_concentration","hh_int_access_concentration","highway_miles_concentration","homelessness_concentration","housing_cost_burden_concentration","housing_units_concentration","hud_202_concentration","hud_hcv_concentration","hud_pbs8_concentration","hud_ph_concentration","incomplete_kitchen_concentration","incomplete_plumbing_concentration","intercity_km_concentration","overcrowded_housing_concentration","ozone_concentration","permits_concentration","pm25_concentration","pub_transit_commute_concentration","pub_transit_stops_concentration","rail_transit_km_concentration","rr_freight_route_miles_concentration","rr_incident_killed_concentration","rr_incident_number_concentration","rr_pax_route_miles_concentration","stations_elevated_concentration","stations_subway_concentration","superfund_site_concentration","transport_costs_concentration","transport_trade_jobs_concentration","vacancy_rate_concentration","water_system_violations_concentration"
"32","doi_aging_infra",-0.0231994680679296,0.164179976755673,0.208491616991341,-0.971974074517947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27445612767076
"33","doi_drought",1.18482651365787,0.567558912583677,0.283002877907249,-0.421760212365799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.999700610530439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247426461195863
"34","doi_rural_water",-0.900197920333389,1.3049024081857,2.00792927110251,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.792976694973042,NA,NA,NA,NA,2.40007303963309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.814150240547805,NA,NA,NA,0.868978281665701
"35","doi_water_recycle",0.60804841129307,-0.692826355000931,-0.686452948769376,-0.385048736163569,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.734095362236053,NA,NA,NA,NA,-0.889842576101801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.525925180956789,NA,NA,NA,-0.625831714427581
"36","doi_water_storage",-0.46642216181702,1.2501847966299,0.814795835728258,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308930989011058,NA,NA,NA,NA,1.06886500152152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.705432787252403,NA,NA,NA,0.60346872177015
"37","dot_tc",-0.238602432945582,0.675953315233401,1.13756618935623,-0.750780750515979,-0.100821406424289,NA,NA,NA,1.15207493072482,-0.542801538235925,1.46775653180425,0.44218489285094,NA,NA,NA,-0.416258870287907,NA,-0.698612264462661,NA,-0.590869530352466,NA,1.70754571916318,NA,1.06409881386639,-0.720032068345046,-0.143480211940416,NA,1.27693195237497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3470400943444,NA,-0.663494954885697,NA,-0.33365233196963,-0.676147821622531,-0.223910347861926,-0.697246785323378,1.44891700788531,0.0275831434597809,0.471667047373579,0.365245807344988,-0.533152119543782,-0.225016203322934,NA,1.63584449353232,-0.631887296457715,NA,NA
"38","elderly",0.530964830161669,0.376434091813476,-0.030596474844345,0.984725050801132,NA,-0.245988364401409,NA,NA,NA,NA,NA,NA,NA,NA,-0.233700588379794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534977596039108,0.114486562266122,-0.0697703666950839,1.39370933320668,NA,NA,NA,-0.0943996497589865,-0.164014276218753,NA,0.384550771356487,NA,0.122076727451361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.183243470857362,NA
"39","epa_great_lakes",-1,0.563496600080218,0.575899150566749,0.540216808594651,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.913979927937752,NA,NA,-0.978693616530211,NA,1.95138999348886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.621821577723485
"40","ferry_rural_comms",-0.374119530338415,-0.685223526604519,-0.835434616719114,-0.121795646616403,NA,NA,NA,NA,NA,-0.483119864650452,NA,NA,NA,NA,NA,-0.644753458313557,-0.183260467507129,NA,NA,NA,1.55130462638821,1.56954492324233,NA,NA,NA,1.54347117223063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417067552491778,-0.374960628644016,NA,NA,NA,NA,NA,NA,NA,NA,0.579606596654414,NA,NA,NA
"41","fhwa_carbon",-0.0144186242897743,-0.253375035166893,-0.373796500301094,0.0661112584328194,NA,NA,NA,NA,NA,0.358632597727809,NA,NA,NA,0.0734947200699327,NA,0.154014656702685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143311022663225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
